Event ID,Operation ID,User ID,Equipment Type,Airport,Operation Time,Op Type,Num Ops,Segment#,Latitude,Longitude,Altitude AFE (ft),Altitude MSL (ft),unit-x,unit-y,unit-z,Segment Length (ft),Ground Track Distance (ft),Ground Speed (kt),Delta Speed (kt),Trajectory Mode,Net Corrected Thrust Per Engine (lb),Duration ,Fuel Burn (lb),CO (lb),THC (lb),TOG (lb),VOC (lb),NMHC (lb),NOx (lb),nvPM Mass (lb),nvPM Number,PMSO (lb),PMFO (lb),CO2 (lb),H2O (lb),SOx (lb),PM 2.5 (lb),PM 10 (lb)
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,5,38.297043,-76.392079,-18.2,19.8,-0.756247,-0.654287,0,329.2,585.3,71.1,17.8,Takeoff Ground Roll,-99,00:00:02.438,49.39,6.77,0.12,0.14,0.14,0.14,0.47,N/A,N/A,0,0.03,155.83,61.1,0.04,0.03,0.03
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,6,38.296452,-76.392946,-18.2,19.8,-0.756247,-0.654287,0,402.4,914.5,88.9,17.8,Takeoff Ground Roll,-99,00:00:02.438,49.31,6.76,0.12,0.14,0.14,0.14,0.47,N/A,N/A,0,0.03,155.58,61,0.04,0.03,0.03
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,7,38.295729,-76.394007,-18.2,19.8,-0.756247,-0.654287,0,475.5,1316.9,106.7,17.8,Takeoff Ground Roll,-99,00:00:02.438,49.22,6.75,0.12,0.14,0.14,0.14,0.47,N/A,N/A,0,0.03,155.29,60.89,0.04,0.03,0.03
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,8,38.294875,-76.39526,-18.2,19.8,-0.756247,-0.654287,0,548.7,1792.4,124.4,17.8,Takeoff Ground Roll,-99,00:00:02.438,49.12,6.73,0.12,0.14,0.14,0.14,0.47,N/A,N/A,0,0.03,154.96,60.76,0.04,0.03,0.03
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,9,38.293889,-76.396706,-18.2,19.8,-0.756247,-0.654287,0,621.9,2341.1,142.2,17.8,Takeoff Ground Roll,-99,00:00:02.438,49,6.72,0.12,0.14,0.14,0.14,0.47,N/A,N/A,0,0.03,154.58,60.61,0.04,0.03,0.03
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,10,38.292772,-76.398345,-18.2,19.8,-0.755854,-0.653947,0.0322,1768.8,2963,160,29.7,Terminal Climb,-99,00:00:05.996,30.81,4.22,0.08,0.09,0.09,0.09,1.1,N/A,N/A,0,0.02,97.2,38.11,0.02,0.02,0.02
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,11,38.289595,-76.403006,38.8,76.8,-0.755854,-0.653947,0.0322,2111.2,4731.8,189.7,30.3,Terminal Climb,-99,00:00:06.109,31.2,4.28,0.08,0.09,0.09,0.09,1.11,N/A,N/A,0,0.02,98.43,38.59,0.02,0.02,0.02
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,12,38.285802,-76.408568,106.8,144.8,-0.751716,-0.650367,0.109302,1134.3,6843,220,10,Terminal Climb,-99,00:00:03.005,15.27,2.1,0.04,0.04,0.04,0.04,0.55,N/A,N/A,0,0.01,48.17,18.89,0.01,0.01,0.01
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,13,38.283764,-76.411556,231.5,269.5,-0.751716,-0.650367,0.109302,1184.7,7977.3,230,10,Terminal Climb,-99,00:00:03.005,15.21,2.09,0.04,0.04,0.04,0.04,0.54,N/A,N/A,0,0.01,48,18.82,0.01,0.01,0.01
100018,7,,Boeing F/A-18 Hornet_9725/F4144,KNHK,6/30/2022 7:00:00 AM,Departure,1,14,38.281635,-76.414678,361.8,399.8,-0.74207,-0.642022,0.192718,611,9162,240,3,Terminal Climb,-99,00:00:01.528,7.71,1.06,0.02,0.02,0.02,0.02,0.28,N/A,N/A,0,0,24.34,9.54,0.01,0,0
