Code,Aircraft,Engine,Power,Units
M02903,C-130H&N&P,T56-A-15,625.0,C TIT
M02903,C-130H&N&P,T56-A-15,560.0,C TIT
M02903,C-130H&N&P,T56-A-15,970.0,C TIT
M03001,C-131B,R-2800-103W,2050.0,RPM
M03001,C-131B,R-2800-103W,800.0,RPM
M03001,C-131B,R-2800-103W,1000.0,RPM
M03001,C-131B,R-2800-103W,2800.0,RPM
M03101,C-135A,J57-P-59W,62.0,% RPM
M03101,C-135A,J57-P-59W,90.0,% RPM
M03101,C-135A,J57-P-59W,80.0,% RPM
M03101,C-135A,J57-P-59W,96.0,% RPM
M03102,C-135B,TF33-P-5,97.4,% RPM
M03102,C-135B,TF33-P-5,55.0,% RPM
M03102,C-135B,TF33-P-5,90.0,% RPM
M03102,C-135B,TF33-P-5,80.0,% RPM
M03102,C-135B,TF33-P-5,70.0,% RPM
M03102,C-135B,TF33-P-5,101.0,% RPM
M03103,KC-135A,J57-P-59W,80.0,% RPM
M03103,KC-135A,J57-P-59W,96.0,% RPM
M03103,KC-135A,J57-P-59W,96.0,% RPM
M03104,KC-135R,F108-CF-100,90.0,% NF
M03104,KC-135R,F108-CF-100,18.9,% NF
M03104,KC-135R,F108-CF-100,80.0,% NF
M03104,KC-135R,F108-CF-100,70.0,% NF
M03104,KC-135R,F108-CF-100,60.0,% NF
M03201,C-137,TF33-P-5,97.4,% RPM
M03201,C-137,TF33-P-5,55.0,% RPM
M03201,C-137,TF33-P-5,90.0,% RPM
M03201,C-137,TF33-P-5,80.0,% RPM
M03201,C-137,TF33-P-5,70.0,% RPM
M03201,C-137,TF33-P-5,101.0,% RPM
M03301,C-140,J60-P-5,100.0,% RPM
M03301,C-140,J60-P-5,41.0,% RPM
M03301,C-140,J60-P-5,85.0,% RPM
M03301,C-140,J60-P-5,75.0,% RPM
M03401,C-141A,TF33-P-7,28.0,% NF
M03401,C-141A,TF33-P-7,70.0,% NF
M03401,C-141A,TF33-P-7,95.0,% NF
M03501,E-3A,TF33-P-100A,1.0,EPR
M03501,E-3A,TF33-P-100A,1.4,EPR
M03501,E-3A,TF33-P-100A,1.2,EPR
M03501,E-3A,TF33-P-100A,1.8,EPR
M03601,E-4,CF6-50C2,103.0,% N1
M03601,E-4,CF6-50C2,24.0,% N1
M03601,E-4,CF6-50C2,95.0,% N1
M03601,E-4,CF6-50C2,70.0,% N1
M03601,E-4,CF6-50C2,111.0,% N1
M03601,E-4,CF6-50C2,45.0,% N1
M03701,EA-6B,J52-P-408,99.0,% RPM
M03701,EA-6B,J52-P-408,60.0,% RPM
M03701,EA-6B,J52-P-408,75.0,% RPM
M03801,E-8A,TF33-P-102A,1.6,EPR
M03801,E-8A,TF33-P-102A,1.0,EPR
M03801,E-8A,TF33-P-102A,1.3,EPR
M03801,E-8A,TF33-P-102A,1.1,EPR
M03801,E-8A,TF33-P-102A,1.0,EPR
M03801,E-8A,TF33-P-102A,1.8,EPR
M03901,F-4C,J79-GE-15E or -15,100.0,% RPM
M03901,F-4C,J79-GE-15E or -15,100.0,% RPM
M03901,F-4C,J79-GE-15E or -15,65.0,% RPM
M03901,F-4C,J79-GE-15E or -15,85.0,% RPM
M03903,F-4,J79-GE-15,99.0,% RPM
M03903,F-4,J79-GE-15,99.0,% RPM
M03903,F-4,J79-GE-15,65.0,% RPM
M03903,F-4,J79-GE-15,85.0,% RPM
M03904,F-4,J79-GE-15,98.5,% RPM
M03904,F-4,J79-GE-15,98.5,% RPM
M03904,F-4,J79-GE-15,85.0,% RPM
M04001,F-5A&B,J85-GE-13,100.0,% RPM
M04001,F-5A&B,J85-GE-13,100.0,% RPM
M04001,F-5A&B,J85-GE-13,50.0,% RPM
M04001,F-5A&B,J85-GE-13,80.0,% RPM
M04002,F-5E,J85-GE-21,100.0,% RPM
M04002,F-5E,J85-GE-21,100.0,% RPM
M04002,F-5E,J85-GE-21,50.0,% RPM
M04002,F-5E,J85-GE-21,80.0,% RPM
M04003,F-5,J85-GE-13,101.0,% RPM
M04003,F-5,J85-GE-13,101.0,% RPM
M04003,F-5,J85-GE-13,80.0,% RPM
M04101,F-8,J57-P-20,100.0,% RPM
M04101,F-8,J57-P-20,97.0,% RPM
M04101,F-8,J57-P-20,53.0,% RPM
M04101,F-8,J57-P-20,70.0,% RPM
M04201,F-14A,TF30-P-412A/412,102.0,% NC
M04201,F-14A,TF30-P-412A/412,102.0,% NC
M04201,F-14A,TF30-P-412A/412,70.0,% NC
M04201,F-14A,TF30-P-412A/412,85.0,% NC
M04201,F-14A,TF30-P-412A/412,80.0,% NC
M04201,F-14A,TF30-P-412A/412,102.1,% NC
M04202,F-14B,F110-GE-400,102.0,% NC
M04202,F-14B,F110-GE-400,86.0,% NC
M04202,F-14B,F110-GE-400,74.0,% NC
M04202,F-14B,F110-GE-400,102.0,% NC
M04301,F-15A,F100-PW-100,90.0,% NC
M04301,F-15A,F100-PW-100,90.0,% NC
M04301,F-15A,F100-PW-100,63.0,% NC
M04301,F-15A,F100-PW-100,80.0,% NC
M04303,F-15E,F100-PW-220,90.0,% NC
M04303,F-15E,F100-PW-220,90.0,% NC
M04303,F-15E,F100-PW-220,63.0,% NC
M04303,F-15E,F100-PW-220,80.0,% NC
M04304,F-15E,F100-PW-229,90.0,% NC
M04304,F-15E,F100-PW-229,90.0,% NC
M04304,F-15E,F100-PW-229,63.0,% NC
M04304,F-15E,F100-PW-229,80.0,% NC
M04305,F-15,F100-PW-100,92.0,% RPM
M04305,F-15,F100-PW-100,92.0,% RPM
M04305,F-15,F100-PW-100,68.0,% RPM
M04305,F-15,F100-PW-100,80.0,% RPM
M04306,F-15,F100-PW-100,91.0,% RPM
M04306,F-15,F100-PW-100,91.0,% RPM
M04306,F-15,F100-PW-100,80.0,% RPM
M04401,F-16A,F100-PW-100,89.0,% NC
M04401,F-16A,F100-PW-100,90.0,% NC
M04401,F-16A,F100-PW-100,62.0,% NC
M04401,F-16A,F100-PW-100,80.0,% NC
M04402,F-16C,F100-PW-220,92.0,% NC
M04402,F-16C,F100-PW-220,91.5,% NC
M04402,F-16C,F100-PW-220,67.0,% NC
M04402,F-16C,F100-PW-220,80.0,% NC
M04403,F-16C,F100-PW-229,95.0,% NC
