aircraft,aircraft_code,engine,power_code,description,power_1,unit_1,power_2,unit_2,power_3,unit_3,interpolation,operation_type
C-12,M01901,PT6A-38,RM0190174V,100 % TORQUE,98.10,% RPM,"","","","",VARIABLE,STATIC
C-17,M02001,F117-PW-100,RM0200106V,INTERMED PWR (MIL),92.00,% NC,1.25,EPR,40000.00,LBS/HR,VARIABLE,STATIC
C-17,M02001,F117-PW-100,RM0200113V,IDLE,77.00,% NC,1.00,EPR,12800.00,LBS/HR,VARIABLE,STATIC
C-17,M02001,F117-PW-100,RM0200131V,MAX PWR,95.00,% NC,1.40,EPR,56000.00,LBS/HR,VARIABLE,STATIC
C-17,M02001,F117-PW-100,RM0200158V,CRUISE POWER,86.00,% NC,1.10,EPR,23700.00,LBS/HR,VARIABLE,STATIC
C-17,M02001,F117-PW-100,RM0200159V,DERATED THRUST,94.00,% NC,1.35,EPR,50600.00,LBS/HR,VARIABLE,STATIC
C-18A,M02101,TF33-PW-102A,RM0210107V,TRIM CHECK,1.63,EPR,97.00,% RPM,7800.00,LBS/HR,VARIABLE,STATIC
C-18A,M02101,TF33-PW-102A,RM0210113V,IDLE,1.06,EPR,57.00,% RPM,1200.00,LBS/HR,VARIABLE,STATIC
C-18A,M02101,TF33-PW-102A,RM0210117V,90 % RPM ENG RUNUP,1.33,EPR,90.00,% RPM,4900.00,LBS/HR,VARIABLE,STATIC
C-18A,M02101,TF33-PW-102A,RM0210119V,80 % RPM ENG RUNUP,1.10,EPR,80.00,% RPM,2400.00,LBS/HR,VARIABLE,STATIC
C-18A,M02101,TF33-PW-102A,RM0210121V,70 % RPM ENG RUNUP,1.07,EPR,70.00,% RPM,1600.00,LBS/HR,VARIABLE,STATIC
C-18A,M02101,TF33-PW-102A,RM0210131V,MAX PWR,1.84,EPR,100.00,% RPM,10000.00,LBS/HR,VARIABLE,STATIC
C-20,M02201,SPEYMK511-8,RM0220113V,IDLE,500.00,LBS,"","","","",VARIABLE,STATIC
C-20,M02201,SPEYMK511-8,RM0220130V,TAKEOFF PWR,11400.00,LBS,"","","","",VARIABLE,STATIC
